series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTC15M,2-4,100.0,0.05,40-60,4,0,yes_only,hold,,,,26,50.0,44.0,-55.5385,-150.0,-0.115444,3,3.4119,26,0
KXBTC15M,2-4,200.0,0.05,40-60,4,0,yes_only,hold,,,,26,50.0,44.0,-55.5385,-150.0,-0.115444,3,3.4119,26,0
KXBTC15M,2-4,300.0,0.05,40-60,4,0,yes_only,hold,,,,26,50.0,44.0,-55.5385,-150.0,-0.115444,3,3.4119,26,0
KXBTC15M,2-4,100.0,0.05,40-60,8,0,yes_only,hold,,,,26,50.0,43.7692,-55.8462,-157.0,-0.120716,3,3.4132,26,0
KXBTC15M,2-4,200.0,0.05,40-60,8,0,yes_only,hold,,,,26,50.0,43.7692,-55.8462,-157.0,-0.120716,3,3.4132,26,0
KXBTC15M,2-4,300.0,0.05,40-60,8,0,yes_only,hold,,,,26,50.0,43.7692,-55.8462,-157.0,-0.120716,3,3.4132,26,0
KXBTC15M,8-12,100.0,0.05,40-60,4,0,yes_only,time_exit,,,2.0,59,47.46,32.3214,-38.1935,-279.0,-0.120916,5,8.8199,59,0
KXBTC15M,8-12,100.0,0.05,40-60,8,0,yes_only,time_exit,,,2.0,59,47.46,32.3214,-38.1935,-279.0,-0.120916,5,8.8199,59,0
KXBTC15M,8-12,200.0,0.05,40-60,4,0,yes_only,time_exit,,,2.0,59,47.46,32.3214,-38.1935,-279.0,-0.120916,5,8.8199,59,0
KXBTC15M,8-12,200.0,0.05,40-60,8,0,yes_only,time_exit,,,2.0,59,47.46,32.3214,-38.1935,-279.0,-0.120916,5,8.8199,59,0
KXBTC15M,8-12,300.0,0.05,40-60,4,0,yes_only,time_exit,,,2.0,59,47.46,32.3214,-38.1935,-279.0,-0.120916,5,8.8199,59,0
KXBTC15M,8-12,300.0,0.05,40-60,8,0,yes_only,time_exit,,,2.0,59,47.46,32.3214,-38.1935,-279.0,-0.120916,5,8.8199,59,0
KXBTC15M,8-12,100.0,0.02,40-60,4,0,yes_only,time_exit,,,2.0,59,49.15,30.9655,-39.2333,-279.0,-0.121847,5,8.8463,59,0
KXBTC15M,8-12,100.0,0.02,40-60,8,0,yes_only,time_exit,,,2.0,59,49.15,30.9655,-39.2333,-279.0,-0.121847,5,8.8463,59,0
KXBTC15M,8-12,200.0,0.02,40-60,4,0,yes_only,time_exit,,,2.0,59,49.15,30.9655,-39.2333,-279.0,-0.121847,5,8.8463,59,0
KXBTC15M,8-12,200.0,0.02,40-60,8,0,yes_only,time_exit,,,2.0,59,49.15,30.9655,-39.2333,-279.0,-0.121847,5,8.8463,59,0
KXBTC15M,8-12,300.0,0.02,40-60,4,0,yes_only,time_exit,,,2.0,59,49.15,30.9655,-39.2333,-279.0,-0.121847,5,8.8463,59,0
KXBTC15M,8-12,300.0,0.02,40-60,8,0,yes_only,time_exit,,,2.0,59,49.15,30.9655,-39.2333,-279.0,-0.121847,5,8.8463,59,0
KXBTC15M,2-4,100.0,0.02,30-70,8,0,yes_only,hold,,,,33,54.55,37.6111,-58.8,-205.0,-0.126943,3,3.6893,33,0
KXBTC15M,2-4,200.0,0.02,30-70,8,0,yes_only,hold,,,,33,54.55,37.6111,-58.8,-205.0,-0.126943,3,3.6893,33,0
KXBTC15M,2-4,300.0,0.02,30-70,8,0,yes_only,hold,,,,33,54.55,37.6111,-58.8,-205.0,-0.126943,3,3.6893,33,0
KXBTC15M,4-6,100.0,0.08,40-60,8,0,no_only,hold,,,,31,45.16,49.7143,-53.0588,-206.0,-0.129133,7,5.4258,0,31
KXBTC15M,4-6,200.0,0.08,40-60,8,0,no_only,hold,,,,31,45.16,49.7143,-53.0588,-206.0,-0.129133,7,5.4258,0,31
KXBTC15M,4-6,300.0,0.08,40-60,8,0,no_only,hold,,,,31,45.16,49.7143,-53.0588,-206.0,-0.129133,7,5.4258,0,31
KXBTC15M,4-6,100.0,0.02,40-60,4,0,no_only,hold,,,,31,45.16,49.7143,-53.1765,-208.0,-0.130237,6,5.4184,0,31
KXBTC15M,4-6,100.0,0.05,40-60,4,0,no_only,hold,,,,31,45.16,49.7143,-53.1765,-208.0,-0.130237,6,5.4168,0,31
KXBTC15M,4-6,200.0,0.02,40-60,4,0,no_only,hold,,,,31,45.16,49.7143,-53.1765,-208.0,-0.130237,6,5.4184,0,31
KXBTC15M,4-6,200.0,0.05,40-60,4,0,no_only,hold,,,,31,45.16,49.7143,-53.1765,-208.0,-0.130237,6,5.4168,0,31
KXBTC15M,4-6,300.0,0.02,40-60,4,0,no_only,hold,,,,31,45.16,49.7143,-53.1765,-208.0,-0.130237,6,5.4184,0,31
KXBTC15M,4-6,300.0,0.05,40-60,4,0,no_only,hold,,,,31,45.16,49.7143,-53.1765,-208.0,-0.130237,6,5.4168,0,31
KXBTC15M,2-4,100.0,0.08,40-60,4,0,yes_only,hold,,,,25,48.0,44.3333,-55.5385,-190.0,-0.151678,3,3.4284,25,0
KXBTC15M,2-4,200.0,0.08,40-60,4,0,yes_only,hold,,,,25,48.0,44.3333,-55.5385,-190.0,-0.151678,3,3.4284,25,0
KXBTC15M,2-4,300.0,0.08,40-60,4,0,yes_only,hold,,,,25,48.0,44.3333,-55.5385,-190.0,-0.151678,3,3.4284,25,0
KXBTC15M,2-4,100.0,0.02,40-60,4,0,yes_only,hold,,,,27,48.15,43.8462,-55.4286,-206.0,-0.153186,3,3.4053,27,0
KXBTC15M,2-4,200.0,0.02,40-60,4,0,yes_only,hold,,,,27,48.15,43.8462,-55.4286,-206.0,-0.153186,3,3.4053,27,0
KXBTC15M,2-4,300.0,0.02,40-60,4,0,yes_only,hold,,,,27,48.15,43.8462,-55.4286,-206.0,-0.153186,3,3.4053,27,0
KXBTC15M,2-4,100.0,0.08,40-60,8,0,yes_only,hold,,,,25,48.0,44.3333,-55.8462,-194.0,-0.154386,3,3.4291,25,0
KXBTC15M,2-4,200.0,0.08,40-60,8,0,yes_only,hold,,,,25,48.0,44.3333,-55.8462,-194.0,-0.154386,3,3.4291,25,0
KXBTC15M,2-4,300.0,0.08,40-60,8,0,yes_only,hold,,,,25,48.0,44.3333,-55.8462,-194.0,-0.154386,3,3.4291,25,0
KXBTC15M,2-4,100.0,0.02,40-60,8,0,yes_only,hold,,,,27,48.15,43.6154,-55.7143,-213.0,-0.158275,3,3.4065,27,0
KXBTC15M,2-4,200.0,0.02,40-60,8,0,yes_only,hold,,,,27,48.15,43.6154,-55.7143,-213.0,-0.158275,3,3.4065,27,0
KXBTC15M,2-4,300.0,0.02,40-60,8,0,yes_only,hold,,,,27,48.15,43.6154,-55.7143,-213.0,-0.158275,3,3.4065,27,0
KXBTC15M,4-6,100.0,0.02,40-60,8,0,no_only,hold,,,,32,43.75,49.7143,-53.1667,-261.0,-0.158857,7,5.4277,0,32
KXBTC15M,4-6,100.0,0.05,40-60,8,0,no_only,hold,,,,32,43.75,49.7143,-53.1667,-261.0,-0.158857,7,5.4262,0,32
KXBTC15M,4-6,200.0,0.02,40-60,8,0,no_only,hold,,,,32,43.75,49.7143,-53.1667,-261.0,-0.158857,7,5.4277,0,32
KXBTC15M,4-6,200.0,0.05,40-60,8,0,no_only,hold,,,,32,43.75,49.7143,-53.1667,-261.0,-0.158857,7,5.4262,0,32
KXBTC15M,4-6,300.0,0.02,40-60,8,0,no_only,hold,,,,32,43.75,49.7143,-53.1667,-261.0,-0.158857,7,5.4277,0,32
KXBTC15M,4-6,300.0,0.05,40-60,8,0,no_only,hold,,,,32,43.75,49.7143,-53.1667,-261.0,-0.158857,7,5.4262,0,32
KXBTC15M,1-2,100.0,0.05,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-29.0,-186.0,-0.165587,7,1.0006,12,16
