series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTCD,5-10,350.0,0.02,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.4713,-909.0,-0.290128,14,4.1171,56,54
KXBTCD,5-10,500.0,0.02,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.4713,-909.0,-0.290128,14,4.1171,56,54
KXBTCD,30-45,200.0,0.02,30-70,8,0,yes_only,fair_value,,,,42,61.9,18.5,-61.25,-499.0,-0.290483,8,30.0954,42,0
KXBTCD,30-45,350.0,0.02,30-70,8,0,yes_only,fair_value,,,,42,61.9,18.5,-61.25,-499.0,-0.290483,8,30.0954,42,0
KXBTCD,30-45,500.0,0.02,30-70,8,0,yes_only,fair_value,,,,42,61.9,18.5,-61.25,-499.0,-0.290483,8,30.0954,42,0
KXBTCD,30-45,200.0,0.02,30-70,8,0,yes_only,time_exit,,,5.0,42,47.62,30.6,-51.9091,-530.0,-0.291539,8,33.6884,42,0
KXBTCD,30-45,350.0,0.02,30-70,8,0,yes_only,time_exit,,,5.0,42,47.62,30.6,-51.9091,-530.0,-0.291539,8,33.6884,42,0
KXBTCD,30-45,500.0,0.02,30-70,8,0,yes_only,time_exit,,,5.0,42,47.62,30.6,-51.9091,-530.0,-0.291539,8,33.6884,42,0
KXBTCD,30-45,200.0,0.08,40-60,4,0,best_edge,time_exit,,,5.0,37,43.24,34.0,-47.8571,-461.0,-0.291943,8,34.1326,23,14
KXBTCD,30-45,200.0,0.08,40-60,8,0,best_edge,time_exit,,,5.0,37,43.24,34.0,-47.8571,-461.0,-0.291943,8,34.1326,23,14
KXBTCD,30-45,350.0,0.08,40-60,4,0,best_edge,time_exit,,,5.0,37,43.24,34.0,-47.8571,-461.0,-0.291943,8,34.1326,23,14
KXBTCD,30-45,350.0,0.08,40-60,8,0,best_edge,time_exit,,,5.0,37,43.24,34.0,-47.8571,-461.0,-0.291943,8,34.1326,23,14
KXBTCD,30-45,500.0,0.08,40-60,4,0,best_edge,time_exit,,,5.0,37,43.24,34.0,-47.8571,-461.0,-0.291943,8,34.1326,23,14
KXBTCD,30-45,500.0,0.08,40-60,8,0,best_edge,time_exit,,,5.0,37,43.24,34.0,-47.8571,-461.0,-0.291943,8,34.1326,23,14
KXBTCD,5-10,200.0,0.05,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.6092,-921.0,-0.293497,14,4.1534,55,55
KXBTCD,5-10,350.0,0.05,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.6092,-921.0,-0.293497,14,4.1534,55,55
KXBTCD,5-10,500.0,0.05,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.6092,-921.0,-0.293497,14,4.1534,55,55
KXBTCD,30-45,200.0,0.08,30-70,4,0,yes_only,take_profit,,8.0,,40,70.0,10.8214,-56.75,-378.0,-0.297847,6,19.0813,40,0
KXBTCD,30-45,350.0,0.08,30-70,4,0,yes_only,take_profit,,8.0,,40,70.0,10.8214,-56.75,-378.0,-0.297847,6,19.0813,40,0
KXBTCD,30-45,500.0,0.08,30-70,4,0,yes_only,take_profit,,8.0,,40,70.0,10.8214,-56.75,-378.0,-0.297847,6,19.0813,40,0
KXBTCD,30-45,200.0,0.08,30-70,8,0,yes_only,take_profit,,8.0,,40,70.0,10.7857,-57.3333,-386.0,-0.301522,6,19.1215,40,0
KXBTCD,30-45,350.0,0.08,30-70,8,0,yes_only,take_profit,,8.0,,40,70.0,10.7857,-57.3333,-386.0,-0.301522,6,19.1215,40,0
KXBTCD,30-45,500.0,0.08,30-70,8,0,yes_only,take_profit,,8.0,,40,70.0,10.7857,-57.3333,-386.0,-0.301522,6,19.1215,40,0
KXBTCD,30-45,200.0,0.08,30-70,8,0,yes_only,fair_value,,,,40,60.0,19.5833,-61.25,-510.0,-0.305611,8,31.3372,40,0
KXBTCD,30-45,350.0,0.08,30-70,8,0,yes_only,fair_value,,,,40,60.0,19.5833,-61.25,-510.0,-0.305611,8,31.3372,40,0
KXBTCD,30-45,500.0,0.08,30-70,8,0,yes_only,fair_value,,,,40,60.0,19.5833,-61.25,-510.0,-0.305611,8,31.3372,40,0
KXBTCD,30-45,200.0,0.02,40-60,4,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,200.0,0.02,40-60,8,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,200.0,0.05,40-60,4,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,200.0,0.05,40-60,8,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,350.0,0.02,40-60,4,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,350.0,0.02,40-60,8,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,350.0,0.05,40-60,4,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,350.0,0.05,40-60,8,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,500.0,0.02,40-60,4,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,500.0,0.02,40-60,8,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,500.0,0.05,40-60,4,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,500.0,0.05,40-60,8,0,best_edge,time_exit,,,5.0,37,40.54,36.1333,-46.9091,-490.0,-0.309502,8,34.2084,24,13
KXBTCD,30-45,200.0,0.08,40-60,4,0,yes_only,hold,,,,30,40.0,44.0833,-54.7222,-456.0,-0.31259,9,38.2431,30,0
KXBTCD,30-45,200.0,0.08,40-60,8,0,yes_only,hold,,,,30,40.0,44.0833,-54.7222,-456.0,-0.31259,9,38.2431,30,0
KXBTCD,30-45,350.0,0.08,40-60,4,0,yes_only,hold,,,,30,40.0,44.0833,-54.7222,-456.0,-0.31259,9,38.2431,30,0
KXBTCD,30-45,350.0,0.08,40-60,8,0,yes_only,hold,,,,30,40.0,44.0833,-54.7222,-456.0,-0.31259,9,38.2431,30,0
KXBTCD,30-45,500.0,0.08,40-60,4,0,yes_only,hold,,,,30,40.0,44.0833,-54.7222,-456.0,-0.31259,9,38.2431,30,0
KXBTCD,30-45,500.0,0.08,40-60,8,0,yes_only,hold,,,,30,40.0,44.0833,-54.7222,-456.0,-0.31259,9,38.2431,30,0
KXBTCD,30-45,200.0,0.05,40-60,4,0,yes_only,fair_value,,,,32,68.75,10.4091,-56.2,-333.0,-0.31527,3,22.0828,32,0
KXBTCD,30-45,200.0,0.05,40-60,8,0,yes_only,fair_value,,,,32,68.75,10.4091,-56.2,-333.0,-0.31527,3,22.0828,32,0
KXBTCD,30-45,350.0,0.05,40-60,4,0,yes_only,fair_value,,,,32,68.75,10.4091,-56.2,-333.0,-0.31527,3,22.0828,32,0
KXBTCD,30-45,350.0,0.05,40-60,8,0,yes_only,fair_value,,,,32,68.75,10.4091,-56.2,-333.0,-0.31527,3,22.0828,32,0
KXBTCD,30-45,500.0,0.05,40-60,4,0,yes_only,fair_value,,,,32,68.75,10.4091,-56.2,-333.0,-0.31527,3,22.0828,32,0
KXBTCD,30-45,500.0,0.05,40-60,8,0,yes_only,fair_value,,,,32,68.75,10.4091,-56.2,-333.0,-0.31527,3,22.0828,32,0
KXBTCD,30-45,200.0,0.02,40-60,4,0,yes_only,fair_value,,,,32,68.75,10.3182,-56.2,-335.0,-0.31739,3,22.1162,32,0
KXBTCD,30-45,200.0,0.02,40-60,8,0,yes_only,fair_value,,,,32,68.75,10.3182,-56.2,-335.0,-0.31739,3,22.6898,32,0
KXBTCD,30-45,350.0,0.02,40-60,4,0,yes_only,fair_value,,,,32,68.75,10.3182,-56.2,-335.0,-0.31739,3,22.1162,32,0
KXBTCD,30-45,350.0,0.02,40-60,8,0,yes_only,fair_value,,,,32,68.75,10.3182,-56.2,-335.0,-0.31739,3,22.6898,32,0
KXBTCD,30-45,500.0,0.02,40-60,4,0,yes_only,fair_value,,,,32,68.75,10.3182,-56.2,-335.0,-0.31739,3,22.1162,32,0
KXBTCD,30-45,500.0,0.02,40-60,8,0,yes_only,fair_value,,,,32,68.75,10.3182,-56.2,-335.0,-0.31739,3,22.6898,32,0
KXBTCD,30-45,200.0,0.05,40-60,4,0,yes_only,time_exit,,,5.0,32,40.62,35.2308,-47.8947,-452.0,-0.329797,8,33.0499,32,0
KXBTCD,30-45,200.0,0.05,40-60,8,0,yes_only,time_exit,,,5.0,32,40.62,35.2308,-47.8947,-452.0,-0.329797,8,33.0499,32,0
KXBTCD,30-45,350.0,0.05,40-60,4,0,yes_only,time_exit,,,5.0,32,40.62,35.2308,-47.8947,-452.0,-0.329797,8,33.0499,32,0
KXBTCD,30-45,350.0,0.05,40-60,8,0,yes_only,time_exit,,,5.0,32,40.62,35.2308,-47.8947,-452.0,-0.329797,8,33.0499,32,0
