ticker,open_time,close_time,entry_time,floor_strike,expiration_value,result,actual,volume,tte_minutes,tte_at_entry_min,spot_at_entry,vol_at_entry,model_prob_yes,edge,distance_bps,near_money,filter_near_money,filter_low_edge,any_filter,would_trade
KXBTC15M-26JAN101600-00,2026-01-10 20:45:00+00:00,2026-01-10 21:00:00+00:00,2026-01-10 20:46:00+00:00,90461.22,,no,0,18952.0,15.0,14,90451.52,0.09376901034643317,0.4122249761369372,-0.0877750238630628,-1.072397677783313,True,True,False,True,False
KXBTC15M-26JAN101615-15,2026-01-10 21:00:00+00:00,2026-01-10 21:15:00+00:00,2026-01-10 21:01:00+00:00,90451.49,,no,0,10039.0,15.0,14,90431.78,0.09191253161543837,0.32288219617753205,-0.17711780382246795,-2.1795435188831185,True,True,False,True,False
KXBTC15M-26JAN101630-30,2026-01-10 21:15:00+00:00,2026-01-10 21:30:00+00:00,2026-01-10 21:16:00+00:00,90403.81,,yes,1,13587.0,15.0,14,90397.59,0.09191253161543837,0.4422434135078319,-0.05775658649216808,-0.6880714408427441,True,True,False,True,False
KXBTC15M-26JAN101645-45,2026-01-10 21:30:00+00:00,2026-01-10 21:45:00+00:00,2026-01-10 21:31:00+00:00,90435.36,,no,0,12480.0,15.0,14,90445.23,0.09191253161543837,0.5908858909697627,0.09088589096976274,1.0912681630634742,True,True,False,True,False
KXBTC15M-26JAN101700-00,2026-01-10 21:45:00+00:00,2026-01-10 22:00:00+00:00,2026-01-10 21:46:00+00:00,90413.91,,no,0,9164.0,15.0,14,90395.25,0.09191253161543837,0.3316511947465568,-0.1683488052534432,-2.064267757432331,True,True,False,True,False
KXBTC15M-26JAN101715-15,2026-01-10 22:00:00+00:00,2026-01-10 22:15:00+00:00,2026-01-10 22:01:00+00:00,90388.68,,no,0,11908.0,15.0,14,90379.99,0.09306926441683404,0.4205826078256869,-0.0794173921743131,-0.9614960125562944,True,True,False,True,False
KXBTC15M-26JAN101730-30,2026-01-10 22:15:00+00:00,2026-01-10 22:30:00+00:00,2026-01-10 22:16:00+00:00,90292.73,,yes,1,11956.0,15.0,14,90279.97,0.09306926441683404,0.38419958568366025,-0.11580041431633975,-1.413381063373721,True,True,False,True,False
KXBTC15M-26JAN101745-45,2026-01-10 22:30:00+00:00,2026-01-10 22:45:00+00:00,2026-01-10 22:31:00+00:00,90355.83,,yes,1,3473.0,15.0,14,90402.68,0.09306926441683404,0.8596951282009928,0.3596951282009928,5.1823684873049425,True,True,False,True,False
KXBTC15M-26JAN101800-00,2026-01-10 22:45:00+00:00,2026-01-10 23:00:00+00:00,2026-01-10 22:46:00+00:00,90459.47,,no,0,5062.0,15.0,14,90386.52,0.09306926441683404,0.04649498222082937,-0.4535050177791706,-8.070893757166122,True,True,False,True,False
KXBTC15M-26JAN101815-15,2026-01-10 23:00:00+00:00,2026-01-10 23:15:00+00:00,2026-01-10 23:01:00+00:00,90312.63,,yes,1,9663.0,15.0,14,90317.18,0.09457931788391646,0.5410047775628768,0.04100477756287679,0.5037801224516043,True,True,True,True,False
KXBTC15M-26JAN101830-30,2026-01-10 23:15:00+00:00,2026-01-10 23:30:00+00:00,2026-01-10 23:16:00+00:00,90390.26,,yes,1,16054.0,15.0,14,90410.08,0.09457931788391646,0.6732541542243788,0.17325415422437884,2.1922334323791093,True,True,False,True,False
KXBTC15M-26JAN101845-45,2026-01-10 23:30:00+00:00,2026-01-10 23:45:00+00:00,2026-01-10 23:31:00+00:00,90421.53,,no,0,12149.0,15.0,14,90429.89,0.09457931788391646,0.5750150168330154,0.07501501683301537,0.9244730918063245,True,True,False,True,False
KXBTC15M-26JAN101900-00,2026-01-10 23:45:00+00:00,2026-01-11 00:00:00+00:00,2026-01-10 23:46:00+00:00,90413.41,,no,0,15326.0,15.0,14,90387.98,0.09457931788391646,0.2821266811161973,-0.21787331888380268,-2.8134271835710423,True,True,False,True,False
KXBTC15M-26JAN101915-15,2026-01-11 00:00:00+00:00,2026-01-11 00:15:00+00:00,2026-01-11 00:01:00+00:00,90392.91,,no,0,14578.0,15.0,14,90369.99,0.08931093478036495,0.2910234794940642,-0.2089765205059358,-2.536240183273037,True,True,False,True,False
KXBTC15M-26JAN101930-30,2026-01-11 00:15:00+00:00,2026-01-11 00:30:00+00:00,2026-01-11 00:16:00+00:00,90384.72,,yes,1,17282.0,15.0,14,90415.97,0.08931093478036495,0.7732916402231692,0.2732916402231692,3.456247828785114,True,True,False,True,False
KXBTC15M-26JAN101945-45,2026-01-11 00:30:00+00:00,2026-01-11 00:45:00+00:00,2026-01-11 00:31:00+00:00,90485.98,,no,0,4143.0,15.0,14,90466.11,0.08931093478036495,0.3167925101822371,-0.18320748981776291,-2.196402608666974,True,True,False,True,False
KXBTC15M-26JAN102000-00,2026-01-11 00:45:00+00:00,2026-01-11 01:00:00+00:00,2026-01-11 00:46:00+00:00,90443.09,,yes,1,8283.0,15.0,14,90464.59,0.08931093478036495,0.6968764675641499,0.1968764675641499,2.376620509748621,True,True,False,True,False
KXBTC15M-26JAN102015-15,2026-01-11 01:00:00+00:00,2026-01-11 01:15:00+00:00,2026-01-11 01:01:00+00:00,90507.84,,no,0,30828.0,15.0,14,90487.99,0.08338573196650287,0.3050639867666801,-0.19493601323331988,-2.1936612803523725,True,True,False,True,False
KXBTC15M-26JAN102030-30,2026-01-11 01:15:00+00:00,2026-01-11 01:30:00+00:00,2026-01-11 01:16:00+00:00,90505.37,,no,0,9712.0,15.0,14,90520.01,0.08338573196650287,0.6464022503116207,0.14640225031162069,1.6173219600836786,True,True,False,True,False
KXBTC15M-26JAN102045-45,2026-01-11 01:30:00+00:00,2026-01-11 01:45:00+00:00,2026-01-11 01:31:00+00:00,90470.59,,yes,1,16406.0,15.0,14,90449.17,0.08338573196650287,0.291010895752879,-0.20898910424712103,-2.36818093521458,True,True,False,True,False
KXBTC15M-26JAN102100-00,2026-01-11 01:45:00+00:00,2026-01-11 02:00:00+00:00,2026-01-11 01:46:00+00:00,90475.91,,yes,1,7834.0,15.0,14,90469.94,0.08338573196650287,0.43898411612569027,-0.06101588387430973,-0.6598876930835993,True,True,False,True,False
KXBTC15M-26JAN102115-15,2026-01-11 02:00:00+00:00,2026-01-11 02:15:00+00:00,2026-01-11 02:01:00+00:00,90513.36,,yes,1,16739.0,15.0,14,90513.51,0.08065248093566005,0.5015052727125656,0.0015052727125656196,0.01657211172057953,True,True,True,True,False
KXBTC15M-26JAN102130-30,2026-01-11 02:15:00+00:00,2026-01-11 02:30:00+00:00,2026-01-11 02:16:00+00:00,90569.19,,no,0,16212.0,15.0,14,90563.65,0.08065248093566005,0.4415010818457634,-0.05849891815423658,-0.6117244611947673,True,True,False,True,False
KXBTC15M-26JAN102145-45,2026-01-11 02:30:00+00:00,2026-01-11 02:45:00+00:00,2026-01-11 02:31:00+00:00,90556.53,,yes,1,13204.0,15.0,14,90541.98,0.08065248093566005,0.3496591778415796,-0.15034082215842037,-1.606989376640859,True,True,False,True,False
KXBTC15M-26JAN102200-00,2026-01-11 02:45:00+00:00,2026-01-11 03:00:00+00:00,2026-01-11 02:46:00+00:00,90570.93,,yes,1,14817.0,15.0,14,90581.71,0.08065248093566005,0.6124519783089116,0.11245197830891163,1.1900857248128112,True,True,False,True,False
KXBTC15M-26JAN102215-15,2026-01-11 03:00:00+00:00,2026-01-11 03:15:00+00:00,2026-01-11 03:01:00+00:00,90574.92,,no,0,10973.0,15.0,14,90574.0,0.07176679705621938,0.48898714116670344,-0.011012858833296557,-0.1015744032501881,True,True,True,True,False
KXBTC15M-26JAN102230-30,2026-01-11 03:15:00+00:00,2026-01-11 03:30:00+00:00,2026-01-11 03:16:00+00:00,90528.77,,yes,1,8140.0,15.0,14,90515.58,0.07176679705621938,0.3469451426520793,-0.15305485734792068,-1.457207698387651,True,True,False,True,False
